名稱,英文名稱,學名,原產地,棲息環境,體長,適溫,敘述,建議食材1,建議食材2,建議食材3
輻射龜,Radiated tortoise,   Geochelone radiata,   馬達加斯加島,   乾燥 灌木林區,   背甲40公分.,   攝氏22-30度.,"馬達加斯加島位於非洲東岸.島上存在四種稀有的陸龜,幅射龜便是其中之一.雖然野生的幅射龜數量由於棲息地的破壞與原著民的捕食而呈現下降的趨勢,但是據專家估計,野外族群的數量還有一千萬隻以上.雖然列名CITES一級保育類,在 當地和東歐也都有專業養殖場,但市面上所見的個體仍然絕大多數是野外採集的個體.近年來儼然成為在寵物市場的主流龜種,價格也越趨合理.
　
輻射龜也是在龜殼上有星紋的龜類當中體型最大的龜種.可算是最漂亮的陸龜.體健好養,有人更稱之為 ""有錢人的蘇卡達"".在日本十分受歡迎.台灣在2000年開始大量引進,至今國內應該已經有上千隻之譜了.不過初期進來的輻射龜都是花紋較少的所謂黑幅,體健耐寒,抗病力較強,成長速度較快,而後期進來的幾乎都是花紋較華麗的所謂太陽幅,與黑幅比較起來,太陽幅對疾病和較低的溫度的抵抗力較低,所以死亡率比黑幅高很多,生長速度也 相對較慢.黑幅因為食量奇大,成長速度也快很多,缺點就是也比較會隆背.
　
在飼養上並不困難.食量大,成長快速.龜性活潑.需要較大量的飲水.值得一提的是,在多數龜類中,幅射龜可說是最乾淨的陸龜,不但排洩量少且無臭味.尾部也 比較不會有任何殘留.很容易打理.雄龜必須長到30公分以上才能成功的交配.雄龜尾部相對較長,雌龜較短;雄龜腹甲前端也會比雌性突出.雌龜可產下3-12顆蛋.而孵化期較長,為145-230天不等.馬達加斯加島的陸龜似乎對水果類食物如蘋果,香蕉等接受度更高於蔬菜.成龜每週可餵1-2次水果.不可過量.
　
值得注意的是馬達加斯加位在南半球,所以冬季和夏季的月份是與台灣相反的,冬季乾冷,由六月至八月,龜龜多半處於蟄伏狀態;而夏季溼熱,由12月到2月,也是當地龜龜最活躍的季節,所以正確的說,馬島的龜龜並不是一年四季都在進食成長的,其實是只有3-6個月的活躍期.輻射龜的分佈區域氣溫由七月的最低溫約15度左右到二月的最高溫約33度左右,基本上是很接近台灣的氣候型態,這也難怪輻射在台灣養起來狀況特別好.只是因為季節相反,如果新進的龜龜出現蟄伏或是厭食的現象有時候就是因為產地季節不同的關係.
　
在金氏世界紀錄中,壽命最長的一隻龜正是輻射龜,那是英國庫克船長在西元1777年送給東加王國國王的一隻輻射龜,牠活到1965年才壽終正寢,足足活了188歲,這也是經過證實的一隻最長壽的陸龜了.",1,2,3
安哥洛卡象龜,Angonoka (Ploughshare) tortoise,  Geochelone yniphora,   非洲馬達加斯加島,   乾燥草原地帶,   背甲43公分.,   攝氏22-30度.,"位於非洲東岸的馬達加斯加島是世界第一大島,也孕育了無數的特有種動物,島上陸龜就有安哥洛卡 象龜,幅射龜,蛛網龜和平背蛛網龜四種之多,而且這四種都相繼被列為CITES一級保育真可以說是得天獨厚.
    
安哥洛卡龜(Angonoka)是當地人取的名稱,英國人稱之為犁頭龜(Ploughshare)因為牠們的胸甲延伸凸出有如犁頭.在原生地數量只剩下不到1000隻,人工繁殖也只限於少數保育組織,可以算是最稀有的陸龜.國內外市場上都難得一見.當地人對這種龜也特別尊重,不敢任意傷害.
　
由於島上並無天敵存在,牠們通常並不挖洞棲身,只會躲藏於草叢或灌木叢下.雄龜大於雌龜,雌龜每窩下3-6個蛋,一季產4-5次.要經過170-300天才能孵化.國內在 近年來國內陸續進口了將近十隻人工繁殖的幼龜,售價當然奇高無比,只是其中恐怕超過半數都已陣亡.因為幼龜生性孤僻,對環境變遷十分敏感,對食物的種類也十分挑剔,雖然抗病力與輻射龜相差無幾,但是卻比較容易因緊迫而拒食,沒有陸龜飼養經驗的人切勿嘗試這種天價龜種.基本上 站長也不鼓勵飼養這種稀有龜種,因為牠們 是真正面臨絕種的危機,不像輻射龜在野外還有數以百萬計的數量.",1,2,3
蛛網龜,Spider tortoise,"  Pyxis arachnoides
",   馬達加斯加島,   乾燥灌木林丘陵地帶,   背甲12-15公分.,   攝氏13-29度.,"蛛網龜因為花紋神似蜘蛛網而得名.在陸龜中這是唯一一種胸甲有關節可以摺合的種類.依腹甲的花紋及胸甲的可摺合程度又分出三種亞種,另外還有一種稱為平背蛛網龜或稱扁尾龜的亞種已經獨立成為一個新 的品種Pyxis planicauda,區分如下:
　
1.Pyxis arachnoides arachnoides, 腹甲無斑紋,可以完全閉合.
2.Pyxis arachnoides oblonga, 腹甲有散佈的黑斑,可以完全閉合.
3.Pyxis arachnoides brygooi, 腹甲無斑紋,也無法完全閉合.
4.Pyxis planicauda 腹甲有黑斑,但無關節,不能閉合,背甲也較為扁平.
　
背甲花紋變異極大.由於體型不大,所以 以前市面上看到的多半是成龜.但近年進口的都是幼龜.基本上,蛛網龜幼龜是非常敏感而膽怯的龜類,越少驚動牠們越好.幼龜拒食比例頗高,感染疾病死亡的比例也高於五成,需要比較小心的照顧.成龜就顯得比較活潑,食量也比較大.早期一些合法進口的成龜甚至可以當做蘇卡達養,十分強健.少部份個體花紋會隨著成長而擴張,底色也會轉變為偏黃化的體色,國外稱之為高黃蛛網龜(high yellow),這種情況出現在承名亞種P.a. arachnoides比較多.
　
由於牠們的棲息地集中於馬島西南部近海岸的乾燥區域,與輻射龜的分佈區域有部份重疊,所以相當適應較高的濕度(75%).雖然也是草食性但可以餵食較多的水果類及少許動物性食物.比其它陸龜更偏向雜食性.洋菇類食物是牠們很喜愛的食物.在棲息地溫差很大所以可以忍受10度以下的低溫與40度以上的高溫.要養好這種龜最好要有比較大的日夜溫差.同時這個龜種以室外 飼養較為適合,因為蛛網龜必須要有天然陽光才能表現出較為正常的活動.
　
而扁尾龜習性與蛛網類似,但好像更偏愛動物性食料如麵包蟲及蝸牛或蛞蝓等軟體甲殼類動物.扁尾龜已經在2002年被改為CITES I 的保育類其他的三個亞種蛛網龜也在2003-2004年相繼被改列為CITES I級,所以將來能見到的合法個體恐怕將會越來越少.
　
蛛網龜的成長比一般陸龜慢得多,依照站長的經驗,一年成長不到0.5公分,一方面是因為食量較小,一方面也是因為體型比較小,因此幼龜需要至少五年以上才能成年.而雌龜每年通常只產卵1次,每次只產一顆,所以在繁殖上難度會比較高一點.至於雌雄的分辨與一般陸龜類似,主要以尾巴來分辨.飼養蛛網龜的基本原則就是充足的陽光和穩定的環境,儘可能也要避免與他種陸龜混養,這樣飼養成功的機率將會大幅的提高.",1,2,3
紅腿象龜,Red footed tortoise,  Geochelone carbonaria,   中美洲巴拿馬至南美洲阿根廷,   草原與森林地帶,   背甲30公分.,   攝氏21-31度.,"紅腿象龜因為前腿滿佈紅色的鱗片而得名.牠們在陸龜中算是比較會認得飼主的一種.體健活動力強,比較能適應台灣的濕熱氣候.很容易飼養,可以做為入門龜種.但是初生的幼龜死亡率一樣很高,要避免5公分以下的幼龜.只要有6-7公分以上就 會好養多了.在中南美洲分佈很廣.美國佛洲有一些養殖場,不過還是得從南美洲國家進口才能滿足市場的需求.
　
近年來逐漸流行產於巴拉圭的紅腿種類名為櫻桃紅腿(Cherry head red footed tortoise),體型不超過25公分,所以也有人稱為侏儒紅腿.頭部呈現櫻桃紅色,遠較一般紅腿鮮豔,在日本人氣很旺,台灣也有不少.櫻桃紅腿與普通紅腿 的飼養難度和死亡率都類似.普通紅腿最大的特徵就是雄龜成年後體型拉長而腰部會內縮,整個龜殼變成葫蘆型,雌龜也一樣不過較不明顯.牠們屬雜食性,偶而吃些軟體甲殼類動物.幼龜對於蟋蟀或麵包蟲也非常喜愛.食性偏向雜食性,需要動物性蛋白質,喜愛水果類食物,一般葉菜,葫蘿蔔等都能接受.在野外是棲息於森林及灌木叢區域,需要較高的溼度,但是也有 分佈於乾旱地區的紅腿,因此紅腿象龜的耐旱會力比黃腿象龜高.
　
紅腿是標準的象龜,雄龜大於雌龜,頗為多產,一年四季只要溫度夠就能交配產卵,所以每年都可生2-3窩蛋.每窩蛋在3-8顆,較大的雌龜更可以產下10-15顆蛋.在攝氏29.5°約150天可以孵化.幼龜雌雄都有.如果以攝氏31°以上孵化則幼龜將都是雌性.若在28°以下孵化則幼龜多為雄性.爬蟲類多有由溫度決定性別的傾向.台灣在前幾年已經繁殖普通紅腿象龜成功,站長也在2004年成功繁殖出櫻桃紅腿象龜,由此可見紅腿象龜是一種適合大量繁殖的陸龜.",1,2,3
黃腿象龜,Yellow Footed tortoise,  Geochelone denticulata,   中美洲巴拿馬至南美洲阿根廷,   濕潤森林地帶 ,   背甲40-60公分.,   攝氏21-30度.,"
基本上黃腿象龜與紅腿象龜的習性,飲食與繁殖等都極為類似.雙方的差異僅僅在於體型與體色上.體型上黃腿大得多,但體色則是紅腿較鮮豔.由於棲息區域與紅腿互相重疊,所以市場上只見紅腿少見黃腿.黃腿象龜所需的溼度比紅腿更高,更不喜歡日曬.尤其在幼龜期溼度的控制十分重要.飼養難度與紅腿差不多,也是 滿理想的入門龜種.只是黃腿因為數量較少,價格要比紅腿高出許多.
　
雖然目前黃腿並沒有亞種,但是在分佈區的密林中卻存在著一種體型巨大的黃腿象龜,體型比一般黃腿大上近一倍,體色黯淡,但是還是看得出黃腿的特徵.到底是新的亞種,還是只是老成的成體,尚未確定.當地人都稱之為巨人黃腿.
　
黃腿以雜草,漿果,落果和動物屍體為主食.在人工環境下可以水果蔬菜為主,每週餵食1-2次麵包蟲或水龜飼料等動物性食餌,對於牠們的健康成長會有助益.牠們可以活上50-60年.雌龜每窩產4-8顆蛋,每年可以下蛋3-4次.經5-6個月可以孵化.要達到成年需要8-10年的時間.由於紅,黃腿象龜在南美洲都有專業繁殖場,因此台灣進口的多半是人工繁殖的幼體和亞成體.",1,2,3
阿根廷象龜,Chaco (Argentine) tortoise,  Geochelone chilensis,   阿根廷及巴拉圭的Chaco地區,   乾燥草莽地帶,   背甲25-35公分.,   攝氏23-32度.可忍受0度低溫.,"阿根廷象龜 的學名稱為智利陸龜,其實是地理認知上的錯誤,因為牠們分佈在智利的族群很少,只是當初1870年Gray首次在Mendoza地區發現牠們時誤以為那是智利的領土而錯誤的命名為智利陸龜.阿根廷象龜 近年來已經穩定進入台灣市場,不過似乎並未造成流行,也許是體色過於類似蘇卡達,而價格卻高很多的緣故.在美國數量也不多.
　
阿根廷象龜與紅,黃腿象龜有親戚關係.但最近耶魯大學的研究顯示,牠們很可能是加拉巴哥象龜最近的血源親戚.幼龜極為類似蘇卡達,只是背甲較寬,邊緣較為上翹.隨著成長,體色 會趨於黝黑.基於分佈地區的不同,阿根廷象龜在體型和體色上還是有所差異的.
　
牠們以野草和葉菜類為主食.水果也可少量餵食.牠們也是少數能夠接受兔子乾草飼料的龜種.由於阿根廷象龜 對溼度非常敏感,所以底材以乾燥的乾草或赤玉土最適合.雖然飼養難度不高,但是牠們很容易感染疾病,所以最好不要與他種陸龜混養.牠們也很常發生隆背或是齒板生長過快的情形,所以為食量要控制得當,另外可以餵食鈣塊,烏賊骨或是未泡水的陸龜飼料來增加消磨齒板的機會.
　
阿根廷象龜的雌雄辨別比較困難,因為牠們的尾巴都很粗短,不過仔細比較肛門到尾尖的距離還是可以分辨出來雄性比較長.雌龜殖率很低,每窩只產2-5顆蛋,而孵化期卻可長達4-12個月.曾有記錄顯示最長的孵化期竟然 長達15個月.台灣進口的阿根廷象龜絕大部份是體色最明亮的個體,所以長大後也很像扁平狀的安哥洛卡象龜,還是有牠們獨特的韻味.",1,2,3
佛州地鼠陸龜,Gopher tortoise,   Gopherus polyphemus,"    美國佛州,南卡羅萊納至路易西安納州之間",    草原至森林區之間的沙質地帶.,    背甲23.5-36.5公分.,    攝氏15-25度.,"佛州地鼠陸龜是美國分佈最廣也是最普遍的地鼠陸龜.本地一般稱做哥法陸龜,地鼠陸龜因為天生會如地鼠一樣鑿地洞躲避陽光或酷寒而得名.地洞有時可以長達十多公尺而且深達三公尺以上,也經常與響尾蛇共用地洞,因此捕蛇人只要找到地鼠陸龜的洞穴就可以找到響尾蛇,佛州地鼠陸龜幼龜時期體色近似蘇卡達, 但長成後體色趨於黯淡並不出色,早年也曾進入台灣,但自列入美國保育類後便不多見了.
　
地鼠陸龜共有四種,美國國內有三種分佈,除本種外還有沙漠地鼠陸龜(Gopherus agassizii),分佈於加州和內華達州之間的沙漠地帶,延伸到墨西哥境內,體型與佛州地鼠陸龜相當,但體色稍微有變化,每塊背甲甲盾中央呈現黃色,周圍則是深棕色;另一種則是德州 地鼠陸龜(Gopherus berlandieri)主要分佈在德克薩斯州到墨西哥之間地帶,體型比其他兩種小得多,約11.5-22公分長.第四種是數量最為稀少的地鼠陸龜,只分佈在墨西哥境內一個狹小區域的墨西哥地鼠陸龜(Gopherus flavomarginatus),這是唯一CITES I保育類的地鼠陸龜.
　
美國的地鼠陸龜因為數量很多,曾經大量被捕捉做為寵物出售,但絕大多數都活不過幾個月,因為野生地鼠陸龜都不容易適應人工環境的飼養.或許與特殊的生活習性有關.特別是沙漠地鼠陸龜喜歡棲息於長葉松林地,除一般草葉外並以長葉松的松葉為 主食,是較為特殊的食物.目前美國民眾可以經過正式申請免費收養地鼠陸龜.如果非法持有或買賣,經查獲會被處50,000美金的罰鍰或坐牢一年,這種嚴刑峻罰也讓地鼠陸龜和美國其他保育龜種受到很好的保護.
　
地鼠陸龜的腹甲前端突出超過背甲,雄龜腹甲凹陷,,雄龜大於雌龜,一般要十五年到二十年才能成年,多 數在春天三,四月間交配,在五月至七月間產卵,每次產下2-7顆卵,大約在八至十月孵化,沙漠陸龜產卵數較多,可以產下十二顆以上的卵.但一般而言,地鼠陸龜的孵化率與長成率都很低, 在野外大約只有 2-3%的幼龜能夠長大成龜,所以即使有立法保護,地鼠陸龜的野生族群增加的速度 還是很慢的.台灣近來已經有德州陸龜進口,由於數量稀少,單價也是高不可攀.",1,2,3
德州地鼠陸龜 ,Texas tortoise,   Gopherus berlandieri,    美國德州南部與墨西哥東北部,    草原沙漠地帶,"    背甲16-20公分
",    攝氏25-32度,"德州地鼠陸龜是四種地鼠陸龜中體型最小的一種.通常棲息在遍佈仙人掌及耐旱植物的沙漠地區.牠們也是地鼠陸龜中比較不傾向挖掘洞穴的一種.不是利用其他動物的洞穴就是直接棲身在樹叢下的淺坑.牠們與其他地鼠陸龜一樣,非常契合棲地特有的環境和食物,所以要養殖野生個體是比較困難的.此外,牠們也很容易感染黴漿菌引起的肺部疾病,致死率頗高.根據站長的經驗,這種感染的病徵並不明顯,通常只會逐漸出現拒食和活動力降低的情形,發展進程比較慢,診斷不易,大約2-3個月之間就會衰竭而死.所以最好不要與其他龜種接觸或混養以避免增加感染的機會.
　
基本上,德州地鼠陸龜的雄性成龜比較具有地域性,容易發生爭鬥,最好分隔飼養.牠們也比較不適應太小的環境,底材以沙土各50%混合比較理想,能夠提供棲身的洞穴更好,保持環境乾與熱是兩大要素.需要比較強也比較長時間的光照,不過牠們比其他地鼠陸龜更能忍受較高的溼度,因此可以放置水盆.
　
冬天氣溫低於攝氏15度時牠們會進入冬眠.不過在人工環境應該避免冬眠.在野外,牠們的食物以野草,仙人掌或是其他纖維質比較粗的耐旱植物莖葉為主食,德州地鼠陸龜也是唯一會攝食動物性餌料的地鼠龜種,如蝸牛,甲蟲或動物屍體牠們都能接受.牠們特別喜歡仙人掌的花與果實,不過野草類佔日常食物的50%以上.在人工環境中最好盡可能配合這種食物上的需求,如此可以大幅縮短適應期.
　
德州地鼠陸龜的雌雄辨別與一般陸龜相同,以尾巴為準,雄性粗大而雌性短小.雌性每窩產下2-3顆蛋,在攝氏30-31度的溫度下約80-130天可以孵化.幼龜成長快速,約5-6年就可以成熟繁殖.台灣最近也有進口一些亞成體,飼養難度會比較低,不過高達六位數的價格也讓人只能遠觀不可近玩焉.",1,2,3
印度星龜,Indian Star tortoise,  Geochelone elegans,"   印度,斯里蘭卡,巴基斯坦",   乾燥草原地帶.,   背甲15-25公分.,   攝氏24-32度.,"星龜在台灣可算是最常見的陸龜.不過大多是5公分以下的 野生幼體.由於外表的米字紋十分亮麗而且價格在陸龜中也是屬於較為平實的,所以廣受市場歡迎.成為台灣進口量最大的陸龜.每年的進口量數以千計.可惜,相對的死亡數量也極大.因為5公分以下幼龜的死亡率高達八成以上,能夠養大到成體的並不多見.
　
星龜也是象龜科(Geochelone)中最小的種類.不過牠們與豹龜 竟然是近親.依花紋的粗細又可分為印度星龜與斯里蘭卡星龜.前者星紋線條較細且頭尾粗細相同;後者線條較粗且末端會放大.米字星紋在原產地屬保護色,置身乾草叢中的星龜很難讓掠食動物發現.成龜背甲的 正常凸起十分明顯,與一般的隆背略有不同.星龜也是本科中比較需要水份的種類.所以幼龜最好能每天水浴並經常曬太陽.在食料上與豹龜相似,較需要高纖維草料或水份含量較低的蔬果類.每週可以為1-3次加有鈣粉的陸龜飼料,可以讓幼龜快速成長,儘早脫離高死亡率的尺寸.但是食物量必須精確的控制.
　
本種雌龜遠大於雄龜.雌雄的辨別容易,雄性體型較小而狹長,腹甲凹陷明顯;雌龜體型寬大,腹甲平坦.雄龜的尾巴粗大,雌龜尾巴則肥短.雌龜每年產卵2-3次,每次可產5-7顆蛋,在最適合的溫度29-30度下約100天左右可以孵化.
星龜的呼吸系統對於潮濕的環境或是過高的溼度都十分敏感,同時也因為生性膽怯,適應期比一般龜種長得多,所以幼龜最好養在室內水族箱中避免吹風也切勿與其牠陸龜混養.否則很容易引起上呼吸道感染或是緊迫.其癥狀就是流鼻水,拒食或在水中漂浮時身體不平衡會向一側傾斜.突然暴斃也是經常發生的不幸.這些都是星龜最主要的死因.
　
所以在預防感染上要特別注意.幼龜只要發病,較難承受治療,能夠康復的機率不高.只有連續水浴一週以上,水中加些人類用的電解質藥片.加強星龜自身的抵抗力或有希望恢復健康.隔離檢疫是飼養星龜不可或缺的必要措施,期間至少一個星期;同時除了水浴之外儘可能不要驚動星龜,至少在新進的適應期中要儘量避免變動環境或是同伴,有時稍微的變動或干擾都可能導致幼龜緊迫猝死.因此飼養星龜必須以最溫和的方式來協助牠們度過適應期,之後才可能順利的成長.
",1,2,3
緬甸星龜,Burmese Star tortoise,  Geochelone platynota,    緬甸全境,   乾燥森林地帶.,   背甲25-35公分.,   攝氏23-32度.,"緬甸星龜只分佈在緬甸全國各地,棲息地很分散,所以在氣候上可以適應比較大的差異,由於棲息地多臨近河岸,也比其他陸龜需要較高的濕度.
　
緬甸與中國雲南省接壤,因此緬甸星龜大多先出口到中國,大部份供應國內藥食等需求,小部份才再輸出至世界各地.目前數量已急劇減少,所以 歐洲已開始有小量養殖.市場上也已逐漸出現人工繁殖的幼龜.不過目前市面上所見仍以野生個體為主.據說在原產地野生的數量比幅射龜還要稀少.因此緬甸星龜已被列入瀕臨絕種的TOP25龜種,很可能會被改為CITES I 的保育類.
　
本種因為野生個體較多,一定要給獸醫驅除體外和體內寄生蟲.以免傳染其他龜類.緬星與印星一樣對上呼吸道感染抵抗力較差,尤其是雄龜,新進的緬星至少要隔離一週以上,觀察無異樣再混養.同時,野生龜類的龜甲外層不論是背部或腹部大多會有受損剝落的情形,只要沒有惡化,大多會自行癒合.否則就須塗以抗生素治療.
　
事實上緬星個性活潑食量也大,比較適合與蘇卡達,豹龜混養,其他龜種最好不要與緬星混養,以免造成緊迫而厭食. 緬星的胃口與食量都很好,一般蔬菜水果都是一掃而空,對水份的需求較高,必須設置水盆供飲用.如果飼養得當,緬星的生長速率不輸蘇卡達,但是發生隆背的情形並不多見.
　
本種的繁殖及幼養殖基本上可以參考豹龜,雌龜每次可產5-10顆蛋,大約三個月可以孵化.不過受精率低於五成,所以孵化率更低,可能與飼養環境有關.台灣首位繁殖緬星成功的劉醫師已將繁殖成果公佈於網站上,有興趣的龜友可以由上方的連結進入.",1,2,3
黃頭象龜(緬甸陸龜),Elongated tortoise (Burmese tortoise),  Indotestudo elongata,"   東南亞印度至泰國,馬來西亞間各國 ",   濕潤森林地帶,   背甲30公分.,   攝氏26-30度.冬天18-24度.,"覺得蘇卡達過大的人或許可以考慮黃頭象龜做為入門龜種.因為黃頭價格較低,體型更是小得多,又屬於熱帶亞洲種類,十分適合台灣的環境.不過台灣的黃頭象龜 多數來自大陸,所以需要注意龜龜的健康與進食狀況.大陸一般稱黃頭象龜為緬甸陸龜,所以容易混淆,其實都是同一龜種.但是黃頭的體型確實有兩種,正常的是狹長型,另一種則比較寬大,後者就被稱為緬甸陸龜.
　
黃頭的分佈區域很廣大,所以適應力也很強.主要生活在高濕度的柚木林中,生性溫和,比較適合混養.食性較偏向雜食性,很愛吃小蝸牛等軟體類動物.蔬菜及水果都可以餵食.牠們特別會喝水,所以水份的供應 需十分充足.牠們也不太喜歡強烈陽光,若養在室外要注意牠們日光浴的時間,超過三十分鐘以上就有可能脫水,幼龜日曬勿超過十分鐘比較好.
　
當進入繁殖期時,雌龜和雄龜的眼睛及鼻孔週圍都會呈現粉紅色澤,繁殖行為延續整個秋天到春天.雌龜每窩下5-9顆蛋,在29°C的溫度約98-134天孵化.一年中雌龜可以相繼產下3-4窩蛋.黃頭需養到 五年以上腹甲長到約17公分時才能有效繁殖.站長也在今年孵化出一批黃頭幼龜,幼龜在出生後一週開始進食,食量和食慾都很好.",1,2,3
西里貝斯陸龜,Celebes (Forsten's) tortoise,  Indotestudo forstenii,"   印尼蘇拉威西,哈馬赫拉等島嶼",   濕潤森林地帶,   背甲25公分.,   攝氏26-30度.,"
西里貝斯陸龜分佈在印尼的 蘇拉威西島(Sulawesi Island)和哈馬赫拉島(Halmahera Island)上.蘇拉威西島原本名稱是西里貝斯島,.所以西里貝斯陸龜也被稱為蘇拉威西陸龜.島上的觀光休閒業十分發達.也是主要的經濟活動.據專家研究指出,哈瑪赫拉島上的族群恐怕已經滅絕.亞洲陸龜屬Indotestudo共涵蓋了三個種類:
　
西里貝斯陸龜  Celebes tortoise          Indotestudo forstenii 分佈蘇拉威西島
查文科陸龜      Travancore tortoise        Indotestudo travancorica 分佈印度西部查文科地區.
黃頭象龜           Indotestudo elongata  Elongated tortoise 分佈中南半島西部至印度.
　
早年,西里貝斯陸龜被專家認為是印度陸龜外移到印尼的外來種,所以兩種龜其實是同一種.不過最近的基因研究顯示印度陸龜的基因與黃頭像龜反而比較接近,因此可以確認牠們是不同的來源.這三種同屬陸龜外型都很類似,其中黃頭比較好區分,因為黃頭的頭部完全沒有斑點,而且黃頭的胸盾比西里貝斯的胸盾要寬近一倍.
　
而查文科陸龜台灣相當罕見,與西里貝斯陸龜在外型上很難區分,頭部與四肢都有斑點.沒有以及來區分.同時多數的西里貝斯頭部都有黑斑而黃頭頭部是一體黃色,幾乎都沒有任何黑斑紋.彼此習性相同,都喜歡高溫多濕的環境,西里貝斯尤其喜歡浸泡在水中.對晒太陽來說倒是比較沒興趣.
　
西里貝斯陸龜屬草食性,而且偏好黃色的水果如芒果,香瓜等,也很喜歡洋菇.牠們偶而也會吃一些蟲子或蚯蚓之類的動物性食料,所以可以少量供應貓狗或魚飼料.西里貝斯陸龜個性上比較敏感膽小,所以比較容易受到壓力,是屬於需要較多照料的龜種,繁殖上也比黃頭稍難.雌龜每次可產下5-9顆蛋,在28-30°C下經過96-140天就能孵化.
　
台灣進口的西里貝斯陸龜數量很少,所以有人以黃頭混充西里貝斯,一定要分辨清楚,黃頭體型比較狹長而西里貝斯體型比較寬闊.不過整體來說,西里貝斯陸龜算是陸龜當中比較冷門的龜種,因此價格上也與黃頭相近.",1,2,3
靴腳陸龜,Burmese Mountain tortoise (Burmese Brown tortoise),  Manouria emys emys,"   印度,緬甸,泰國,馬來西亞及印尼",   熱帶雨林區域.,   背甲40-50公分.,   攝氏13-29度.,"
靴腳陸龜是世界上第四大的陸龜 .在大陸型陸龜中排名第二大,僅次於蘇卡達.也是亞洲原產第一大陸龜.可以大到60公分,重達40-50公斤.牠們不喜歡酷熱的沙漠環境.飼養這種陸龜需保持較涼爽的溫度和較高的濕度約60%-80%之間.所以台灣的氣候頗為適合,只是夏天要注意防晒與飲水的供應.
　
基本上,靴腳陸龜有兩個亞種,除了一般的棕靴腳之外,另一個亞種就是黑靴腳陸龜(Manouria emys phayrei),體型比一般棕靴腳更大上10公分左右,體色接近全黑,區別不難.食性是草食為主,一般青草蔬果等都能接受,但對動物性蛋白質的接受度比蘇卡達或豹龜高.本種陸龜與 同屬親戚的麒麟陸龜(Manouria impressa)被認為是最接近原始龜類的陸龜.最明顯的特徵就是牠們又寬又平的背甲甲盾.與一般陸龜圓凸的甲盾大不相同.
　
首次有記載的繁殖是在1978年由檀香山動物園完成的.雌龜築巢的方式十分特殊,與一般陸龜挖洞產卵完全不同.靴腳雌龜在產卵前會用後腳倒退爬行把落葉,乾草,泥土等推到定點堆成一個小土堆,再將卵產在其中,然後繼續堆砌完成.雌龜會守護巢堆7-20天之久以防其他動物侵害龜卵.這是靴腳陸龜在繁殖上很重要的一個特點.龜卵在25.6-28.9°C的溫度下約63-84天就能孵化,算是比較快的.
　
靴腳陸龜雖然體色並不十分出色,但是卻具有一種碩大粗獷的氣質,在台灣頗受歡迎.由於多數是野生個體,10公分以下的幼體十分少見.不過牠們也算是比較強健的陸龜,冬天沒有保溫的情況下也不容易生病.每年都有固定進口15公分以上的棕靴與黑靴個體,很適合喜愛大型龜類又不敢領教蘇卡達的愛好者飼養,只是在繁殖上需要比較特別的準備.
　
近年大陸地區普遍進行各種龜類繁殖,棕靴與黑靴都已經出現商業性繁殖個體上市,這對野生族群來說也算是個好消息,多少可以減少野生個體的消耗,也可以讓市場價格更為普及化.
",1,2,3
麒麟陸龜,Impressed tortoise,  Manouria impressa,"   中國雲南,廣西,緬甸,泰國,越南",   山地森林區,   背甲23-30公分,   攝氏18-28度,"　
麒麟陸龜的鼎鼎大名相信龜友們都不陌生,牠們出名不在於稀有,也不在於外型特殊,而是在於很難在人工環境中存活.大陸稱之為凹甲陸龜也算貼切.因為牠們的背甲每塊甲盾,特別是脊盾都是成凹陷狀.這項特徵在同屬的陸龜中是一项共通的特徵,與麒麟陸龜同屬的就是靴腳陸龜(Manouria emys).也因此麒麟陸龜的老成龜與棕靴腳的亞成龜外表十分近似,很容易混淆.不過也有分辨的方法,麒麟陸龜的後腿上只有一根棘刺而棕靴有好幾根.
　
不論是歐美日的動物園或是養龜專家學會等都發現很難將麒麟陸龜飼養超過一年.通常買到的個體都會因為拒食而在1-3個月內脫水衰竭而死亡.所以飼養本種龜最好挑越大的個體適應力越好,較不容易死亡.麒麟陸龜雖然分佈在東南亞各國,但是牠們的天然棲息地幾乎都是在2,000公尺左右的山林溪流週邊,環境中溼度很高,所以基本上本種龜並不適應過熱和過乾的環境,同時牠們在氣溫過低時也會進入冬眠.溫度可以說是飼養麒麟陸龜第一项要注意的重點.
　
野生個體通常以竹筍和野草為主食,因此在餵食上應該以植物性食物為主,誘食則以瓜果類和洋菇等為主.必要時也可以進行灌食.驅蟲是必需的步驟.安渡適應期的麒麟陸龜將會展現不輸緬星的大胃王本色,任何食物都是來者不拒,不過即使是已經完全適應的個體還是要定期驅蟲比較安全.",1,2,3
